word,phonetic,pos,meaning,example_en,example_zh,tags,difficulty
abandon,/əˈbændən/,v.,抛弃；放弃,He abandoned his car in the snow.,他把汽车丢弃在雪地里。,考研,1
abolish,/əˈbɒlɪʃ/,v.,废除；取消,The government decided to abolish the outdated law.,政府决定废除这部过时的法律。,考研,2
absorb,/əbˈzɔːb/,v.,吸收；使专心,Plants absorb water through their roots.,植物通过根部吸收水分。,考研,1
acquire,/əˈkwaɪər/,v.,获得；习得,It takes time to acquire a foreign language.,习得一门外语需要时间。,考研,1
advocate,/ˈædvəkeɪt/,v.,提倡；主张,Many experts advocate a balanced diet.,许多专家提倡均衡饮食。,考研,2
barrier,/ˈbæriər/,n.,障碍；屏障,Language is no longer a barrier to communication.,语言不再是交流的障碍。,考研,2
benefit,/ˈbenɪfɪt/,n.,利益；好处,Regular exercise has many health benefits.,经常锻炼对健康有很多好处。,考研,1
candidate,/ˈkændɪdət/,n.,候选人；应试者,She is the best candidate for the job.,她是这份工作的最佳人选。,考研,1
capacity,/kəˈpæsəti/,n.,容量；能力,The hall has a capacity of a thousand people.,这个大厅能容纳一千人。,考研,1
crucial,/ˈkruːʃl/,adj.,至关重要的；决定性的,This decision is crucial to our future.,这个决定对我们的未来至关重要。,考研,2
decline,/dɪˈklaɪn/,v.,下降；婉拒,The number of smokers is declining.,吸烟者的数量正在下降。,考研,1
demonstrate,/ˈdemənstreɪt/,v.,证明；演示,The experiment demonstrates the theory.,这个实验证明了该理论。,考研,2
distinguish,/dɪˈstɪŋɡwɪʃ/,v.,区分；辨别,It is hard to distinguish the twins.,很难分辨这对双胞胎。,考研,2
economy,/ɪˈkɒnəmi/,n.,经济；节约,The economy is recovering slowly.,经济正在缓慢复苏。,考研,1
eliminate,/ɪˈlɪmɪneɪt/,v.,消除；淘汰,We must eliminate all possible risks.,我们必须消除所有可能的风险。,考研,2
emerge,/iˈmɜːdʒ/,v.,出现；浮现,New problems emerged after the reform.,改革后出现了新的问题。,考研,2
facilitate,/fəˈsɪlɪteɪt/,v.,促进；使便利,The new policy will facilitate economic growth.,新政策将促进经济增长。,考研,3
fundamental,/ˌfʌndəˈmentl/,adj.,根本的；基础的,Freedom is a fundamental human right.,自由是一项基本人权。,考研,2
generate,/ˈdʒenəreɪt/,v.,产生；生成,The wind farm generates clean energy.,这个风电场产生清洁能源。,考研,1
guarantee,/ˌɡærənˈtiː/,v.,保证；担保,We guarantee the quality of our products.,我们保证产品的质量。,考研,1
highlight,/ˈhaɪlaɪt/,v.,强调；突出,The report highlights the main problems.,报告强调了主要问题。,考研,2
hypothesis,/haɪˈpɒθəsɪs/,n.,假设；假说,The hypothesis needs further testing.,这个假设需要进一步检验。,考研,3
illustrate,/ˈɪləstreɪt/,v.,说明；举例说明,The teacher illustrated the point with a diagram.,老师用图表说明了这个观点。,考研,2
implement,/ˈɪmplɪment/,v.,实施；执行,The company implemented a new system.,公司实施了一套新系统。,考研,2
inevitable,/ɪnˈevɪtəbl/,adj.,不可避免的；必然的,Change is inevitable in life.,生活中的变化是不可避免的。,考研,2
justify,/ˈdʒʌstɪfaɪ/,v.,证明…正当；为…辩护,How can you justify such behavior?,你怎能证明这种行为是正当的？,考研,3
keen,/kiːn/,adj.,敏锐的；渴望的,She has a keen interest in science.,她对科学有浓厚的兴趣。,考研,2
legislation,/ˌledʒɪsˈleɪʃn/,n.,立法；法律,The government passed new legislation on food safety.,政府通过了关于食品安全的新法律。,考研,3
legitimate,/lɪˈdʒɪtɪmət/,adj.,合法的；合理的,He has a legitimate reason for being late.,他迟到有一个合理的理由。,考研,3
maintain,/meɪnˈteɪn/,v.,维持；保养,It is important to maintain a positive attitude.,保持积极的态度很重要。,考研,1
manipulate,/məˈnɪpjuleɪt/,v.,操纵；控制,He tried to manipulate the data.,他试图操纵数据。,考研,3
